numero,nimi,taytteet
1,Bolognese,jauheliha
2,Frutti di Mare,ananas/katkarapu/tonnikala
3,Americano,ananas/aurajuusto/kinkku
4,Opera Special,kinkku/salami/tonnikala
5,Mexicana,ananas/pepperoni/chili/tacokastike
6,Julia,ananas/aurajuusto/katkarapu/kinkku
7,Empire Special,katkarapu/kinkku/mustapippuri/salami/sipuli/tuplajuusto/valkosipuli
8,Kummisetä,herkkusieni/katkarapu/kinkku/valkosipuli
9,Chicken Hawaii,ananas/aurajuusto/kana
11,Romeo,ananas/aurajuusto/katkarapu/salami
12,Vegetariana,herkkusieni/oliivi/paprika/sipuli/tomaatti
13,Dillinger,jauheliha/kinkku/salami/sipuli
14,Papa's Special,aurajuusto/mustapippuri/oliivi/paprika/salami/sipuli
15,Quattro Stagioni,herkkusieni/katkarapu/kinkku/paprika
16,Cambretti,tuplajuusto/katkarapu/valkosipuli
17,Pepperoni,paprika/pepperoni/tonnikala
19,Spicy Hot Crispy,mausteinen/naudanliha/sipuli/tomaatti/chili
21,Finlandia,kana/katkarapu/kinkku/salami/tonnikala
23,Driver's Special,pekoni/pepperoni/kinkku/salami/aurajuusto
26,Fantasia,
